sourceDatabase,accession,tissueCode,scientificName,speciesInferred,role
Nucleotide,AY597335,NA,Oreochromis mossambicus,Oreochromis mossambicus?,GenBank
Nucleotide,NC_007231,NA,Oreochromis mossambicus,Oreochromis mossambicus?,GenBank
Nucleotide,GU477629,NA,Oreochromis aureus 'strain Guangdong',Oreochromis aureus,GenBank
Nucleotide,GU477630,NA,Oreochromis aureus 'strain America',Oreochromis aureus,GenBank
Nucleotide,GU477627,NA,Oreochromis niloticus 'strain Guangdong',Oreochromis aureus,GenBank
Nucleotide,GU370125,NA,Oreochromis aureus,Oreochromis aureus,Reference sequence
Nucleotide,NC_013750,NA,Oreochromis aureus,Oreochromis aureus,Reference sequence
SRA,ERX6793871,NA,Oreochromis rukwaensis,Oreochromis rukwaensis,Reference sequence
Nucleotide,GU238433,NA,Oreochromis niloticus,Oreochromis mossambicus?,GenBank
Nucleotide,NC_013663,NA,Oreochromis niloticus,Oreochromis mossambicus?,GenBank
Nucleotide,MK951678,NA,Oreochromis tanganicae,Oreochromis tanganicae,Reference sequence
SRA,ERX12704460,NA,Oreochromis shiranus,Oreochromis shiranus,Reference sequence
SRA,ERX6793852,NA,Oreochromis shiranus chilwae,Oreochromis shiranus chilwae,Reference sequence
Nucleotide,KM434157,NA,Oreochromis niloticus x Oreochromis aureus,Oreochromis aureus,GenBank
Nucleotide,NC_025669,NA,Oreochromis niloticus x Oreochromis aureus,Oreochromis aureus,GenBank
Nucleotide,GU477624,NA,Oreochromis niloticus 'strain GIFT',Oreochromis sp. 'gift strain',GenBank
Nucleotide,MG603674,NA,Oreochromis andersonii,Oreochromis andersonii,Reference sequence
Nucleotide,NC_037019,NA,Oreochromis andersonii,Oreochromis andersonii,Reference sequence
Nucleotide,MG603675,NA,Oreochromis macrochir,Oreochromis macrochir,Reference sequence
Nucleotide,NC_037020,NA,Oreochromis macrochir,Oreochromis macrochir,Reference sequence
SRA,ERX6793927,NA,Oreochromis esculentus,Oreochromis esculentus,Reference sequence
Nucleotide,KM654981,NA,Oreochromis esculentus,Oreochromis leucostictus,GenBank
Nucleotide,NC_025555,NA,Oreochromis esculentus,Oreochromis leucostictus,GenBank
Nucleotide,KM658974,NA,Coptodon zillii,Coptodon zillii,Reference sequence
Nucleotide,NC_026110,NA,Coptodon zillii,Coptodon zillii,Reference sequence
Nucleotide,NC_018560,NA,Astatotilapia calliptera,Astatotilapia calliptera,Reference sequence
Nucleotide,JN628855,NA,Astatotilapia calliptera,Astatotilapia calliptera,Reference sequence
SRA,ERX4446015,NA,Oreochromis niloticus,Oreochromis niloticus,Reference sequence
Nucleotide,NC_009057,NA,Oreochromis sp. KM-2006,Oreochromis niloticus,GenBank
Nucleotide,GU370126,NA,Oreochromis niloticus,Oreochromis niloticus,Reference sequence
Nucleotide,AP009126,NA,Oreochromis sp. KM-2006,Oreochromis niloticus,GenBank
Nucleotide,GU477625,NA,Oreochromis niloticus 'strain Egypt',Oreochromis niloticus,GenBank
Nucleotide,GU477631,NA,Oreochromis sp. 'red tilapia',Oreochromis niloticus,GenBank
Nucleotide,GU477628,NA,Oreochromis niloticus 'strain America',Oreochromis niloticus,GenBank
Nucleotide,GU477626,NA,Oreochromis niloticus 'strain Philippines',Oreochromis niloticus,GenBank
SRA,ERX4488792,NA,Oreochromis urolepis,Oreochromis urolepis,Reference sequence
Nucleotide,NC_014060,NA,Oreochromis sp. 'red tilapia',Oreochromis aureus,GenBank
Nucleotide,HM067614,NA,Oreochromis sp. 'red tilapia',Oreochromis aureus,GenBank
SRA,ERX6793889,NA,Oreochromis leucostictus,Oreochromis leucostictus,Reference sequence
Nucleotide,NC_026109,NA,Oreochromis variabilis,Oreochromis leucostictus,GenBank
Nucleotide,KM658973,NA,Oreochromis variabilis,Oreochromis leucostictus,GenBank
This study - leu+ile (ND1),PX311104,366,Oreochromis leucostictus,Oreochromis leucostictus,Reference sequence
This study - leu+ile (ND1),PX311105,367,Oreochromis leucostictus,Oreochromis leucostictus,Reference sequence
This study - leu+ile (ND1),PX311107,MG358,Oreochromis leucostictus,Oreochromis leucostictus,Reference sequence
This study - leu+ile (ND1),PX311108,MG359,Oreochromis leucostictus,Oreochromis leucostictus,Reference sequence
This study - leu+ile (ND1),PX311115,MG726,Oreochromis leucostictus,Oreochromis leucostictus,Reference sequence
This study - leu+ile (ND1),PX311116,MG727,Oreochromis leucostictus,Oreochromis leucostictus,Reference sequence
This study - leu+ile (ND1),PX311155,TZ036,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311156,TZ037,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311161,TZ042,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311179,TZ060,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311180,TZ061,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311181,TZ062,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311183,TZ064,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311185,TZ066,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311186,TZ067,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311191,TZ073,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311197,TZ079,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311198,TZ080,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311214,TZ146,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311218,TZ151,Oreochromis leucostictus,Oreochromis leucostictus,Haplotyping
This study - leu+ile (ND1),PX311117,T2J5,Oreochromis urolepis,Oreochromis urolepis,Reference sequence
This study - leu+ile (ND1),PX311118,T2J6,Oreochromis urolepis,Oreochromis urolepis,Reference sequence
This study - leu+ile (ND1),PX311134,TZ011,Oreochromis urolepis,Oreochromis urolepis,Haplotyping
This study - leu+ile (ND1),PX311142,TZ019,Oreochromis urolepis,Oreochromis urolepis,Haplotyping
This study - leu+ile (ND1),PX311151,TZ032,Oreochromis urolepis,Oreochromis urolepis,Haplotyping
This study - leu+ile (ND1),PX311152,TZ033,Oreochromis urolepis,Oreochromis urolepis,Haplotyping
This study - leu+ile (ND1),PX311153,TZ034,Oreochromis urolepis,Oreochromis urolepis,Haplotyping
This study - leu+ile (ND1),PX311154,TZ035,Oreochromis urolepis,Oreochromis urolepis,Haplotyping
