experiment,well,exclude,sample,assay,role,cq,copies,thresholdSetting,thresholdCq,baselineSetting,baselineStart,baselineEnd
quantification-standards-niloticus_Jun17_2021_025918PM,A1,,niloticus-synthetic,niloticus,Standard,17.8929591077664,1000000,Auto,0.249,Auto,3,14
quantification-standards-niloticus_Jun17_2021_025918PM,A2,,niloticus-synthetic,niloticus,Standard,21.1067110017307,100000,Auto,0.249,Auto,3,17
quantification-standards-niloticus_Jun17_2021_025918PM,A3,,niloticus-synthetic,niloticus,Standard,24.1418613106006,10000,Auto,0.249,Auto,3,20
quantification-standards-niloticus_Jun17_2021_025918PM,A4,,niloticus-synthetic,niloticus,Standard,27.7572779463278,1000,Auto,0.249,Auto,3,25
quantification-standards-niloticus_Jun17_2021_025918PM,A5,,niloticus-synthetic,niloticus,Standard,31.2316599187072,100,Auto,0.249,Auto,3,29
quantification-standards-niloticus_Jun17_2021_025918PM,A6,,niloticus-synthetic,niloticus,Standard,34.0862920857806,10,Auto,0.249,Auto,3,32
quantification-standards-niloticus_Jun17_2021_025918PM,A7,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,A8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,B1,,niloticus-synthetic,niloticus,Standard,17.6324129667752,1000000,Auto,0.249,Auto,3,14
quantification-standards-niloticus_Jun17_2021_025918PM,B2,,niloticus-synthetic,niloticus,Standard,21.0171984754188,100000,Auto,0.249,Auto,3,17
quantification-standards-niloticus_Jun17_2021_025918PM,B3,,niloticus-synthetic,niloticus,Standard,24.5409386417944,10000,Auto,0.249,Auto,3,20
quantification-standards-niloticus_Jun17_2021_025918PM,B4,,niloticus-synthetic,niloticus,Standard,27.5084351698315,1000,Auto,0.249,Auto,3,25
quantification-standards-niloticus_Jun17_2021_025918PM,B5,,niloticus-synthetic,niloticus,Standard,31.1926043070241,100,Auto,0.249,Auto,3,29
quantification-standards-niloticus_Jun17_2021_025918PM,B6,,niloticus-synthetic,niloticus,Standard,34.840170974676,10,Auto,0.249,Auto,3,33
quantification-standards-niloticus_Jun17_2021_025918PM,B7,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,B8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,C1,,niloticus-synthetic,niloticus,Standard,17.8338777743626,1000000,Auto,0.249,Auto,3,14
quantification-standards-niloticus_Jun17_2021_025918PM,C2,,niloticus-synthetic,niloticus,Standard,21.1050769778548,100000,Auto,0.249,Auto,3,17
quantification-standards-niloticus_Jun17_2021_025918PM,C3,,niloticus-synthetic,niloticus,Standard,24.5148767476998,10000,Auto,0.249,Auto,3,21
quantification-standards-niloticus_Jun17_2021_025918PM,C4,,niloticus-synthetic,niloticus,Standard,27.6721572901673,1000,Auto,0.249,Auto,3,25
quantification-standards-niloticus_Jun17_2021_025918PM,C5,,niloticus-synthetic,niloticus,Standard,31.1208076190021,100,Auto,0.249,Auto,3,29
quantification-standards-niloticus_Jun17_2021_025918PM,C6,,niloticus-synthetic,niloticus,Standard,34.0766344187592,10,Auto,0.249,Auto,3,32
quantification-standards-niloticus_Jun17_2021_025918PM,C7,Excluded,niloticus-synthetic,niloticus,Standard,,,Auto,,Auto,,
quantification-standards-niloticus_Jun17_2021_025918PM,C8,Excluded,,niloticus,NTC,,,Auto,,Auto,,
