Genome Accession	Sample_ID	mtDNA_haplogroup	Genotypic_ancestry	O_leucostictus_ancestry	O_niloticus_ancestry	O_urolepis_ancestry	O_esculentus_ancestry
ERR7224472	14_1D9	O. urolepis	O. urolepis (1.00)	0	0	100	0
ERR7224473	14_1E1	O. urolepis	O. urolepis (1.00)	0	0	100	0
ERR13333603	2B3-A	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333604	2B4-A	O. niloticus	O. niloticus (0.99)	0	99	0	0
ERR13333605	2B5-A	O. niloticus	O. esculentus (0.01), O. niloticus (0.98)	0	98	0	1
ERR13333562	F3	O. urolepis	O. urolepis (1.00)	0	0	100	0
ERR13333563	F4	O. urolepis	O. urolepis (1.00)	0	0	100	0
ERR13333387	SUA-01-A02	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333347	SUA-01-A04	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333362	SUA-01-A06	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333388	SUA-01-A07	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333396	SUA-01-A08	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR7224456	T1D3	O. urolepis	O. urolepis (1.00)	0	0	100	0
ERR7224458	T1D5	O. leucostictus	O. leucostictus (1.00)	100	0	0	0
ERR7224459	T1E3	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR7224463	T1E5	O. leucostictus	O. leucostictus (0.44), O. niloticus (0.14), O. urolepis (0.36)	44	14	36	0
ERR7224464	T1F1	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR7224467	T1F10	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR7224465	T1F5	O. urolepis	O. leucostictus (0.49), O. urolepis (0.51)	49	0	51	0
ERR7224466	T1F8	O. urolepis	O. leucostictus (0.26), O. urolepis (0.70)	26	0	70	0
ERR13333456	T1G10	O. urolepis	O. leucostictus (0.26), O. niloticus (0.05), O. urolepis (0.65)	26	5	65	0
ERR7224468	T1G3	O. urolepis	O. niloticus (0.32), O. urolepis (0.64)	0	32	64	0
ERR7224475	T1G7	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR7224476	T1G8	O. urolepis	O. niloticus (0.48), O. urolepis (0.51)	0	48	51	0
ERR13333462	T1H08	O. urolepis	O. leucostictus (0.33), O. urolepis (0.63)	33	0	63	0
ERR7224460	T1H2	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333467	T1I08	O. urolepis	O. niloticus (0.32), O. urolepis (0.65)	0	32	65	0
ERR7224461	T1I7	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR7224462	T1I9	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333472	T1J05	O. urolepis	O. leucostictus (0.25), O. urolepis (0.72)	25	0	72	0
ERR7224469	T1J2	O. niloticus	O. niloticus (1.00)	0	100	0	0
ERR13333477	T2A02	O. leucostictus	O. leucostictus (0.29), O. niloticus (0.48), O. urolepis (0.18)	29	48	18	0
ERR13333441	T2A04	O. urolepis	O. leucostictus (0.70), O. urolepis (0.25)	70	0	25	0
ERR13333447	T2A07	O. urolepis	O. niloticus (0.36), O. urolepis (0.61)	0	36	61	0
ERR13333452	T2B01	O. urolepis	O. leucostictus (0.25), O. urolepis (0.71)	25	0	71	0
ERR13333457	T2C04	O. niloticus	O. niloticus (0.70), O. urolepis (0.25)	0	70	25	0
ERR13333463	T2C05	O. leucostictus	O. leucostictus (0.57), O. urolepis (0.40)	57	0	40	0
ERR13333468	T2C06	O. niloticus	O. niloticus (0.79), O. urolepis (0.16)	0	79	16	0
ERR13333473	T2C09	O. urolepis	O. leucostictus (0.16), O. urolepis (0.80)	16	0	80	0
ERR7224474	T2C10	O. urolepis	O. leucostictus (0.49), O. urolepis (0.51)	49	0	51	0
ERR13333478	T2D06	O. urolepis	O. leucostictus (0.51), O. urolepis (0.49)	51	0	49	0
ERR7224477	T2D8	O. urolepis	O. leucostictus (0.08), O. urolepis (0.88)	0	0	100	0
ERR13333634	T2E09	O. urolepis	O. niloticus (0.21), O. urolepis (0.74)	0	21	74	0
ERR13333635	T2E10	O. urolepis	O. leucostictus (0.11), O. niloticus (0.46), O. urolepis (0.39)	11	46	39	0
ERR7224478	T2E5	O. urolepis	O. leucostictus (0.53), O. urolepis (0.41)	53	0	41	0
ERR13333636	T2F06	O. urolepis	O. niloticus (0.46), O. urolepis (0.54)	0	46	54	0
ERR13333637	T2G08	O. urolepis	O. niloticus (0.47), O. urolepis (0.53)	0	47	53	0
ERR13333638	T2H01	O. niloticus	O. niloticus (0.91), O. urolepis (0.03)	0	100	0	0
ERR13333639	T2H04	O. urolepis	O. leucostictus (0.22), O. urolepis (0.73)	22	0	73	0
